City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Bayir,TR,37.2687,28.2167,66.72,30,0,3.8,clear sky
318,Filingue,NE,14.3521,3.3168,96.93,16,10,7.92,clear sky
319,Media Luna,CU,20.1419,-77.435,85.12,61,0,10.96,clear sky
320,Englewood,US,39.6478,-104.9878,47.48,30,40,10.36,scattered clouds
321,Saint Anthony,US,45.0205,-93.218,57.92,66,40,17.27,scattered clouds
322,Gwembe,ZM,-16.4975,27.6069,78.39,30,71,3.38,broken clouds
323,Soyo,AO,-6.1349,12.3689,77.9,87,72,10.22,broken clouds
324,Jumla,NP,29.2747,82.1838,44.69,74,0,3.98,clear sky
325,Yara,CU,20.2753,-76.9533,86.9,57,5,10.13,clear sky
326,Damghan,IR,36.1683,54.348,68.95,34,81,3.96,broken clouds
327,San Lawrenz,MT,36.0553,14.204,74.86,77,0,6.53,clear sky
328,Bull Savanna,JM,17.8868,-77.5902,83.3,61,1,4.29,clear sky
329,Revda,RU,56.801,59.9303,34.3,96,100,15.79,light snow
330,Dudinka,RU,69.4058,86.1778,25.63,96,100,10.76,light snow
331,Isla Mujeres,MX,21.2311,-86.731,87.17,68,15,11.63,few clouds
332,Ewo,CG,-0.8725,14.8206,75.31,89,100,3.51,overcast clouds
333,Atar,MR,20.5169,-13.0499,98.82,13,47,9.66,scattered clouds
334,Farafangana,MG,-22.8167,47.8333,73.45,83,19,14.54,few clouds
335,Blagoyevo,RU,63.3667,47.9167,32.23,98,100,7.05,light snow
336,Ylivieska,FI,64.0833,24.55,27.88,87,100,3.09,overcast clouds
337,Paramonga,PE,-10.6667,-77.8333,67.06,71,68,10.18,broken clouds
338,Dholka,IN,22.7167,72.4667,77.38,28,0,6.04,clear sky
339,Evans,US,33.5337,-82.1307,75.51,47,0,3.0,clear sky
340,Glenluce,GB,54.8798,-4.8084,53.82,90,71,11.5,broken clouds
341,Ovalle,CL,-30.5983,-71.2003,80.58,23,17,7.58,few clouds
